licitacao_contrato,id,data,catmat_id,quantidade,unidade,valor_unitario,valor_total,municipio_uasg,municipio_fornecedor,distancia_uasg_fornecedor,anomalia
0,834512,2022-01-19,461506,5000, ,6.29,31450.0,27456,62618,2011.32,0
0,836708,2022-01-21,461506,300000, ,7.08,2124300.0,97012,97535,161.396,0
0,838449,2022-01-25,461506,20000, ,6.29,125800.0,28410,62618,1951.25,0
0,838590,2022-01-26,461506,149999, ,1.0,150000.0,97772,85774,1914.39,0
0,839800,2022-01-26,461506,27945, ,4.58,127960.0,97012,97012,0.0,0
0,842025,2022-01-11,461506,0, ,6.29,0.0,28339,62618,1969.24,0
0,842026,2022-01-11,461506,0, ,6.29,0.0,28339,62618,1969.24,0
0,842027,2022-01-11,461506,20000, ,6.29,125800.0,28339,62618,1969.24,0
0,842028,2022-01-11,461506,0, ,6.29,0.0,28339,62618,1969.24,0
0,842029,2022-01-11,461506,0, ,6.29,0.0,28339,62618,1969.24,0
0,842030,2022-01-11,461506,0, ,6.29,0.0,28339,62618,1969.24,0
0,842031,2022-01-11,461506,0, ,6.29,0.0,28339,62618,1969.24,0
0,842032,2022-01-11,461506,0, ,6.29,0.0,28339,62618,1969.24,0
0,842786,2022-01-31,461506,13000, ,7.19,93496.0,54275,54275,0.0,0
0,846657,2022-02-03,461506,10000, ,6.29,62900.0,27936,62618,2066.37,0
0,847680,2022-01-25,461506,10000, ,6.29,62900.0,28096,62618,2098.16,0
0,848398,2022-02-03,461506,0, ,6.29,0.0,28711,62618,2046.21,0
0,848399,2022-02-03,461506,1553, ,6.29,9768.37,28711,62618,2046.21,0
0,848400,2022-02-03,461506,0, ,6.29,0.0,28711,62618,2046.21,0
0,848401,2022-02-03,461506,0, ,6.29,0.0,28711,62618,2046.21,0
0,848402,2022-02-03,461506,0, ,6.29,0.0,28711,62618,2046.21,0
0,848409,2022-02-03,461506,0, ,6.29,0.0,28711,62618,2046.21,0
0,848410,2022-02-03,461506,0, ,6.29,0.0,28711,62618,2046.21,0
0,848411,2022-02-03,461506,0, ,6.29,0.0,28711,62618,2046.21,0
0,848412,2022-02-03,461506,0, ,6.29,0.0,28711,62618,2046.21,0
0,849514,2022-01-11,461506,0, ,6.29,0.0,28339,62618,1969.24,0
0,849515,2022-01-11,461506,0, ,6.29,0.0,28339,62618,1969.24,0
0,849516,2022-01-11,461506,0, ,6.29,0.0,28339,62618,1969.24,0
0,849517,2022-01-11,461506,0, ,6.29,0.0,28339,62618,1969.24,0
0,849518,2022-01-11,461506,0, ,6.29,0.0,28339,62618,1969.24,0
0,849519,2022-01-11,461506,0, ,6.29,0.0,28339,62618,1969.24,0
0,849520,2022-01-11,461506,20000, ,6.29,125800.0,28339,62618,1969.24,0
0,849521,2022-01-11,461506,0, ,6.29,0.0,28339,62618,1969.24,0
0,849522,2022-01-11,461506,0, ,6.29,0.0,28339,62618,1969.24,0
0,849712,2022-02-08,461506,1500000, ,1.0,1500000.0,93734,85774,1455.78,1
0,851584,2022-02-10,461506,527334, ,7.0,3693820.0,97012,85774,1577.85,0
0,855233,2022-02-14,461506,20000, ,6.29,125800.0,28592,62618,2006.5,0
0,855719,2022-02-14,461506,1035, ,6.29,6510.15,97012,60011,935.371,0
0,861077,2022-02-22,461506,1500, ,6.28,9420.0,17795,70475,2314.11,0
0,861079,2022-02-22,461506,1300, ,6.28,8164.0,17795,70475,2314.11,0
0,861082,2022-02-22,461506,300, ,6.28,1884.0,17795,70475,2314.11,0
0,868604,2022-03-09,461506,10000, ,6.29,62900.0,28258,62618,2043.22,0
0,869050,2022-02-24,461506,20000, ,6.29,125800.0,27057,62618,2010.42,0
0,869697,2022-02-23,461506,18184, ,6.57,119413.0,25313,62618,2280.73,0
0,877628,2022-02-24,461506,600, ,7.43,4458.0,93734,93734,0.0,0
0,880092,2022-03-24,461506,40000, ,6.29,251600.0,27855,62618,2081.35,0
0,882251,2022-03-28,461506,50784, ,6.09,309249.0,41238,54038,469.262,0
0,884661,2022-03-31,461506,9500, ,6.44,61180.0,47333,62618,584.514,0
0,885989,2022-03-29,461506,48510, ,7.2,349272.0,97012,97012,0.0,0
0,887862,2022-04-05,461506,413265, ,6.86,2835000.0,97012,60011,935.371,0
0,887931,2022-04-05,461506,18274, ,6.86,125360.0,97012,60011,935.371,0
0,887971,2022-04-05,461506,20053, ,6.86,137564.0,97012,60011,935.371,0
0,891624,2022-04-12,461506,5000, ,6.29,31450.0,27138,62618,1986.51,0
0,892689,2022-04-14,461506,500, ,4.7,2349.5,91316,70475,906.642,0
0,892706,2022-04-14,461506,1600, ,6.28,10048.0,16616,70475,2211.76,0
0,893105,2022-04-14,461506,2500, ,4.88,73200.0,25313,70475,2139.85,0
0,893106,2022-04-14,461506,2500, ,4.88,73200.0,25313,70475,2139.85,0
0,893957,2022-04-14,461506,2500, ,4.88,12200.0,25313,70475,2139.85,0
0,893958,2022-04-14,461506,2500, ,4.88,0.0,25313,70475,2139.85,0
0,895769,2022-04-12,461506,2500, ,4.88,12200.0,25313,70475,2139.85,0
0,897147,2022-04-25,461506,519, ,6.76,3506.43,1392,1392,0.0,0
0,897829,2022-04-14,461506,500, ,4.7,2349.5,91316,70475,906.642,0
0,898483,2022-04-29,461506,16918, ,6.98,118088.0,97012,97012,0.0,0
0,900256,2022-04-27,461506,1000, ,7.14,7140.0,97012,93734,174.558,0
0,901303,2022-04-12,461506,2500, ,4.88,12200.0,25313,70475,2139.85,0
0,901362,2022-03-23,461506,12000, ,6.78,81360.0,80470,76910,483.703,0
0,902849,2022-04-14,461506,30000, ,5.71,171300.0,90670,90514,560.914,0
0,903985,2022-05-06,461506,1358232, ,6.88,9344640.0,97012,60011,935.371,1
0,904261,2022-04-12,461506,2500, ,4.88,12200.0,25313,70475,2139.85,0
0,904543,2022-04-12,461506,2500, ,4.88,12200.0,25313,70475,2139.85,0
0,904588,2022-04-27,461506,676000, ,0.7,4698200.0,4278,70475,2450.88,1
0,905684,2022-04-12,461506,2500, ,4.88,12200.0,25313,70475,2139.85,0
0,906629,2022-05-11,461506,9328, ,7.25,67628.0,2550,2836,852.869,0
0,906638,2022-05-11,461506,12457, ,7.25,90313.2,2550,2836,852.869,0
0,906645,2022-05-11,461506,24000, ,7.2,172800.0,2550,2836,852.869,0
0,906650,2022-05-11,461506,7611, ,7.2,54799.2,2550,2836,852.869,0
0,907750,2022-05-11,461506,27498, ,7.21,198261.0,97012,62618,894.298,0
0,908430,2022-04-12,461506,625, ,4.88,3050.0,25313,70475,2139.85,0
0,908479,2022-03-09,461506,13900, ,6.46,89738.4,75353,70475,323.565,0
0,908603,2022-05-13,461506,72000, ,6.59,474480.0,88013,85774,42.127,0
0,908881,2022-05-11,461506,27498, ,7.21,198261.0,97012,62618,894.298,0
0,910056,2022-01-26,461506,149999, ,1.0,150000.0,97772,85774,1914.39,0
0,912065,2022-05-17,461506,6132, ,6.69,41001.6,97012,70475,858.796,0
0,912396,2022-05-16,461506,110, ,6.28,690.8,17612,70475,2329.45,0
0,912397,2022-05-16,461506,1000, ,6.28,6280.0,17612,70475,2329.45,0
0,921587,2022-06-01,461506,64952, ,6.22,404034.0,71072,70475,30.0574,0
0,922322,2022-05-27,461506,1000, ,7.99,7987.0,4154,4154,0.0,0
0,923056,2022-04-20,461506,148553, ,6.62,982916.0,41238,70475,499.88,0
0,923096,2022-04-20,461506,148553, ,6.62,982916.0,41238,70475,499.88,0
0,923853,2022-06-02,461506,0, ,6.28,0.0,18376,70475,2322.42,0
0,923854,2022-06-02,461506,4150, ,6.28,26062.0,18376,70475,2322.42,0
0,928835,2022-06-10,461506,44000, ,8.5,374000.0,2518,2518,0.0,0
0,931497,2022-06-14,461506,12, ,28114.0,337368.0,71072,62618,1454.23,1
0,932136,2022-06-15,461506,8594, ,10.75,92393.2,45535,70475,1454.23,0
0,932229,2022-04-07,461506,5000, ,6.29,31450.0,28533,62618,1454.23,0
0,933731,2022-06-21,461506,7000, ,6.44,45080.0,47333,62618,1454.23,0
0,934252,2022-06-10,461506,79000, ,6.87,543014.0,11592,60011,1454.23,0
0,934264,2022-06-08,461506,86000, ,6.35,545971.0,11592,60011,1454.23,0
0,936413,2022-06-23,461506,2050, ,6.28,12874.0,16616,70475,1454.23,0
0,939686,2022-06-30,461506,486370, ,6.98,3394860.0,97012,60011,1454.23,0
0,940228,2022-06-30,461506,172720, ,6.98,1205590.0,97012,60011,1454.23,0
0,940803,2022-06-30,461506,3010, ,6.98,21009.8,97012,60011,1454.23,0
0,940812,2022-06-30,461506,1322, ,6.98,9227.56,97012,60011,1454.23,0
0,943317,2022-07-06,461506,2056, ,6.21,12760.2,25313,70475,1454.23,0
0,944432,2022-07-07,461506,2820, ,7.3,20591.6,35,35,0.0,0
0,945415,2022-07-13,461506,4000, ,7.42,29680.8,94455,9555,1454.23,0
0,946137,2022-07-13,461506,58980, ,7.6,448248.0,52493,62138,1454.23,0
0,947848,2022-07-14,461506,86751, ,6.82,591520.0,41238,85774,1454.23,0
0,948357,2022-07-14,461506,86751, ,6.82,591520.0,41238,85774,1454.23,0
0,954969,2022-07-29,461506,5000, ,10.45,52250.0,2550,2836,1454.23,0
0,954974,2022-07-29,461506,8000, ,10.6,84800.0,2550,2836,1454.23,0
0,954978,2022-07-29,461506,5000, ,10.57,52850.0,2550,2836,1454.23,0
0,954982,2022-07-29,461506,5000, ,10.29,51450.0,2550,2836,1454.23,0
0,954987,2022-07-29,461506,4000, ,10.49,41960.0,2550,2836,1454.23,0
0,954992,2022-07-29,461506,4000, ,10.6,42400.0,2550,2836,1454.23,0
0,954997,2022-07-29,461506,10000, ,10.29,102900.0,2550,2836,1454.23,0
0,955002,2022-07-29,461506,10000, ,10.84,108400.0,2550,2836,1454.23,1
0,963009,2022-07-04,461506,81820, ,7.25,593359.0,81051,62618,1454.23,0
0,964682,2022-08-18,461506,5000, ,6.43,32140.0,3018,3018,0.0,0
0,967354,2022-07-29,461506,5000, ,10.45,52250.0,2550,2836,1454.23,0
0,967359,2022-07-29,461506,8000, ,10.6,84800.0,2550,2836,1454.23,0
0,967363,2022-07-29,461506,5000, ,10.57,52850.0,2550,2836,1454.23,0
0,967367,2022-07-29,461506,5000, ,10.29,51450.0,2550,2836,1454.23,0
0,967372,2022-07-29,461506,4000, ,10.49,41960.0,2550,2836,1454.23,0
0,967377,2022-07-29,461506,4000, ,10.6,42400.0,2550,2836,1454.23,0
0,967382,2022-07-29,461506,10000, ,10.29,102900.0,2550,2836,1454.23,0
0,967387,2022-07-29,461506,10000, ,10.84,108400.0,2550,2836,1454.23,1
0,967855,2022-08-22,461506,5000, ,8.29,41450.0,83275,70475,1454.23,0
0,968165,2022-08-22,461506,5000, ,8.29,41450.0,83275,70475,1454.23,0
0,968388,2022-08-15,461506,4000, ,6.44,25760.0,47333,62618,1454.23,0
0,970528,2022-08-19,461506,40000, ,7.15,285872.0,60011,66036,1454.23,0
0,970529,2022-08-19,461506,30000, ,6.79,203718.0,60011,66036,1454.23,0
0,970530,2022-08-19,461506,25000, ,7.56,188908.0,60011,66036,1454.23,0
0,970531,2022-08-19,461506,55000, ,7.45,409844.0,60011,66036,1454.23,0
0,970825,2022-05-06,461506,8450, ,7.41,62614.5,1392,2550,1454.23,0
0,972481,2022-09-01,461506,970, ,15.06,14605.7,57053,70475,1454.23,1
0,972891,2022-08-18,461506,11399, ,6.44,73416.0,47333,62618,1454.23,0
0,975596,2022-03-31,461506,9500, ,6.44,61180.0,47333,62618,1454.23,0
0,977060,2022-08-18,461506,11399, ,6.44,73416.0,47333,62618,1454.23,0
0,977865,2022-08-18,461506,11400, ,6.44,73416.0,47333,62618,1454.23,0
0,983325,2022-09-16,461506,150000, ,7.73,1159770.0,40690,49573,1454.23,0
0,987476,2022-09-26,461506,4735, ,6.43,30440.0,3018,3018,0.0,0
0,987911,2022-09-30,461506,30000, ,6.44,193200.0,47333,62618,1454.23,0
0,993792,2022-04-12,461506,2500, ,4.88,12200.0,25313,70475,1454.23,0
0,997090,2022-10-18,461506,1047, ,7.01,7337.27,20516,70475,1454.23,0
2,7001205000352022,2022-10-10,461506,10000,Litro               ,4.77,47700.0,31054,31054,0.0,0
1,7001805000012023,2022-12-22,461506,8035,Litro               ,4.9,39406.6,71072,71072,0.0,0
1,11032205000012022,2022-04-14,461506,27498,Litro               ,7.21,198261.0,97012,62618,894.298,0
1,11460305000012023,2022-12-14,461506,20000,Litro               ,5.27,105400.0,1392,85774,2797.93,1
1,11460605000022022,2022-02-18,461506,676000,Litro               ,0.69,469820.0,4278,70475,2450.88,1
1,11460905000082022,2022-10-11,461506,52000,Litro               ,6.51,338978.0,12190,62138,2093.61,0
1,11461405000022022,2022-01-26,461506,18912,Litro               ,6.56,124194.0,25313,62618,2280.73,0
2,11461605000092022,2022-10-31,461506,9960,Litro               ,4.91,48903.6,31054,70475,1741.22,0
1,11461805000032022,2022-02-03,461506,35000,Litro               ,6.08,213132.0,41238,54038,469.262,0
3,11461805000032022,2022-02-03,461506,50784,Litro               ,6.08,309249.0,41238,54038,469.262,0
1,11462305000012022,2022-01-20,461506,13900,Litro               ,6.45,89738.4,75353,70475,323.565,0
2,11462705000042022,2022-04-08,461506,16186,Litro               ,6.94,112396.0,93734,70475,790.297,0
2,11462905000022022,2022-04-08,461506,6132,Litro               ,6.89,42274.0,97012,70475,858.796,0
2,11463105000012022,2022-01-14,461506,10971,Litro               ,7.21,79100.9,60011,85774,1085.32,0
1,13010005000032022,2022-10-17,461506,2342,Litro               ,6.61,15482.0,6050,70475,2648.96,1
2,13010205000202022,2022-11-28,461506,6000,Litro               ,6.72,40356.0,62910,70475,61.7735,0
3,13308805000022022,2022-08-10,461506,5000,Litro               ,7.24,36229.3,97012,70475,858.796,0
