data,quantidade,valor_unitario,anomalia
1.0,420,12.0,0
2.0,28000,5.88,1
15.0,360,7.7,0
15.0,120,7.7,0
16.0,2985,4.2,0
16.0,1500,6.49,0
7.0,1200,5.5,0
18.0,150,14.0,0
29.0,180,8.91,0
29.0,180,8.91,0
29.0,374,12.58,0
29.0,374,12.58,0
29.0,410,10.55,0
29.0,410,10.55,0
29.0,120,9.83,0
29.0,40,10.5,1
29.0,36,8.6,1
29.0,36,11.22,1
29.0,12,11.0,1
29.0,60,10.5,1
29.0,2422,6.86,0
29.0,2422,6.86,0
29.0,2422,6.86,0
29.0,2422,6.86,0
29.0,2422,6.86,0
34.0,600,12.9,0
34.0,140,11.0,0
34.0,20115,2.85,1
34.0,6285,2.85,1
35.0,1000,10.1,0
37.0,1860,7.18,0
38.0,330,8.45,0
38.0,4500,6.8,0
36.0,3000,7.9,0
43.0,360,10.0,0
48.0,1500,10.0,0
43.0,2500,4.0,0
44.0,600,5.5,0
36.0,3000,7.9,0
49.0,500,6.99,0
51.0,150,7.0,0
51.0,40,7.0,1
51.0,96,9.5,1
51.0,80,8.0,1
51.0,260,7.5,0
51.0,70,8.5,1
51.0,1080,6.45,0
51.0,1440,6.21,0
36.0,3000,7.9,0
60.0,96,10.0,1
60.0,11640,6.5,0
60.0,3877,6.5,0
45.0,3840,4.0,0
51.0,4000,4.19,0
51.0,1010,4.19,0
64.0,240,14.0,0
36.0,3000,7.9,0
66.0,118,11.0,0
66.0,119,11.0,0
66.0,3000,10.97,0
66.0,600,10.97,0
66.0,2000,6.4,0
66.0,2500,6.0,0
71.0,315,8.98,0
73.0,5760,7.99,0
73.0,4100,4.99,0
78.0,1992,7.4,0
78.0,3000,7.4,0
78.0,800,8.0,0
78.0,1000,8.0,0
78.0,3600,8.0,0
75.0,7200,7.12,0
75.0,11000,4.97,0
75.0,720,9.8,0
75.0,612,9.8,0
75.0,100,12.0,0
80.0,2400,4.94,0
80.0,850,10.53,0
80.0,1008,5.9,0
75.0,7200,7.12,0
80.0,1000,7.48,0
