combinacao,lista_detectores,acuracia,recall
2,"KNN(contamination=0.05, leaf_size=10, method='largest', n_neighbors=10)",0.7377374204779199,0.9711781538952445
5,"Sampling(contamination=0.05, subset_size=10)",0.7137486709307295,0.9663922901625114
1,"INNE(contamination=0.05, n_estimators=50, random_state= 69)",0.6663360454727633,0.9615248301402157
3,"LOF(contamination=0.05, leaf_size=1, n_neighbors=34)",0.4900491367937866,0.9555961015209385
4,"PCA(contamination=0.05, n_components=3, n_selected_components=1)",0.4720185429315597,0.9553888887822655
94,"[LOF(algorithm='auto', contamination=0.05, leaf_size=1, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=34, novelty=True, p=2), PCA(contamination=0.05, copy=True, iterated_power='auto', n_components=3,
  n_selected_components=1, random_state=None, standardization=True,
  svd_solver='auto', tol=0.0, weighted=True, whiten=False), Sampling(contamination=0.05, metric='minkowski', metric_params=None,
     random_state=RandomState(MT19937) at 0x2AC98053540, subset_size=10), ECOD(contamination=0.09, n_jobs=1)]",0.8376848885539093,0.9373668076680588
85,"[KNN(algorithm='auto', contamination=0.05, leaf_size=10, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=10, p=2,
  radius=1.0), LOF(algorithm='auto', contamination=0.05, leaf_size=1, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=34, novelty=True, p=2), PCA(contamination=0.05, copy=True, iterated_power='auto', n_components=3,
  n_selected_components=1, random_state=None, standardization=True,
  svd_solver='auto', tol=0.0, weighted=True, whiten=False), ECOD(contamination=0.09, n_jobs=1)]",0.8376848885539093,0.9373668076680588
114,"[KNN(algorithm='auto', contamination=0.05, leaf_size=10, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=10, p=2,
  radius=1.0), LOF(algorithm='auto', contamination=0.05, leaf_size=1, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=34, novelty=True, p=2), PCA(contamination=0.05, copy=True, iterated_power='auto', n_components=3,
  n_selected_components=1, random_state=None, standardization=True,
  svd_solver='auto', tol=0.0, weighted=True, whiten=False), Sampling(contamination=0.05, metric='minkowski', metric_params=None,
     random_state=RandomState(MT19937) at 0x2AC98053540, subset_size=10), ECOD(contamination=0.09, n_jobs=1)]",0.8376848885539093,0.9373668076680588
49,"[KNN(algorithm='auto', contamination=0.05, leaf_size=10, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=10, p=2,
  radius=1.0), PCA(contamination=0.05, copy=True, iterated_power='auto', n_components=3,
  n_selected_components=1, random_state=None, standardization=True,
  svd_solver='auto', tol=0.0, weighted=True, whiten=False), ECOD(contamination=0.09, n_jobs=1)]",0.8476161827113045,0.9373569682002983
60,"[PCA(contamination=0.05, copy=True, iterated_power='auto', n_components=3,
  n_selected_components=1, random_state=None, standardization=True,
  svd_solver='auto', tol=0.0, weighted=True, whiten=False), Sampling(contamination=0.05, metric='minkowski', metric_params=None,
     random_state=RandomState(MT19937) at 0x2AC98053540, subset_size=10), ECOD(contamination=0.09, n_jobs=1)]",0.8476161827113045,0.9373569682002983
