combinacao,lista_detectores,acuracia,recall,f1
1,"INNE(contamination=0.05, n_estimators=50, random_state= 69)",0.9738937312421495,0.8026720909455266,0.6454967644095767
2,"KNN(contamination=0.05, leaf_size=10, method='largest', n_neighbors=10)",0.9779464104982389,0.9554748409558398,0.7227860461266303
3,"LOF(contamination=0.05, leaf_size=1, n_neighbors=34)",0.9607701675610182,0.580098273587573,0.4730177045692437
4,"PCA(contamination=0.05, n_components=3, n_selected_components=1)",0.9473352005337187,0.3540370858631194,0.3068585543250292
5,"Sampling(contamination=0.05, subset_size=10)",0.9718024988203309,0.8746598079515607,0.6570758973531309
6,ECOD(contamination=0.09),0.9222778867890457,0.8989575851123766,0.4473525510027911
7,COPOD(contamination=0.12),0.902156026999205,0.9796638655462185,0.41910579142952276
8,"[INNE(contamination=0.05, max_samples='auto', n_estimators=50, random_state=69), KNN(algorithm='auto', contamination=0.05, leaf_size=10, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=10, p=2,
  radius=1.0)]",0.9435694313449272,0.9244269230966117,0.5283900921377167
9,"[INNE(contamination=0.05, max_samples='auto', n_estimators=50, random_state=69), LOF(algorithm='auto', contamination=0.05, leaf_size=1, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=34, novelty=True, p=2)]",0.93998392138488,0.9004536812395794,0.5136718782909532
10,"[INNE(contamination=0.05, max_samples='auto', n_estimators=50, random_state=69), PCA(contamination=0.05, copy=True, iterated_power='auto', n_components=3,
  n_selected_components=1, random_state=None, standardization=True,
  svd_solver='auto', tol=0.0, weighted=True, whiten=False)]",0.9422391629249953,0.9112421915768852,0.5209519964058674
11,"[INNE(contamination=0.05, max_samples='auto', n_estimators=50, random_state=69), Sampling(contamination=0.05, metric='minkowski', metric_params=None,
     random_state=RandomState(MT19937) at 0x1FD763FF640, subset_size=10)]",0.9435694313449272,0.9244269230966117,0.5283900921377167
12,"[INNE(contamination=0.05, max_samples='auto', n_estimators=50, random_state=69), ECOD(contamination=0.09, n_jobs=1)]",0.9269284323667512,0.956705885063023,0.49168606640350515
13,"[INNE(contamination=0.05, max_samples='auto', n_estimators=50, random_state=69), COPOD(contamination=0.12, n_jobs=1)]",0.9093549508329373,0.9714411958928411,0.4405727135823764
14,"[KNN(algorithm='auto', contamination=0.05, leaf_size=10, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=10, p=2,
  radius=1.0), LOF(algorithm='auto', contamination=0.05, leaf_size=1, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=34, novelty=True, p=2)]",0.9313285862006178,0.7980353653626857,0.45763339406157233
15,"[KNN(algorithm='auto', contamination=0.05, leaf_size=10, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=10, p=2,
  radius=1.0), PCA(contamination=0.05, copy=True, iterated_power='auto', n_components=3,
  n_selected_components=1, random_state=None, standardization=True,
  svd_solver='auto', tol=0.0, weighted=True, whiten=False)]",0.9145632543894278,0.5196751610666841,0.3344208325507346
16,"[KNN(algorithm='auto', contamination=0.05, leaf_size=10, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=10, p=2,
  radius=1.0), Sampling(contamination=0.05, metric='minkowski', metric_params=None,
     random_state=RandomState(MT19937) at 0x1FD763FF640, subset_size=10)]",0.940195954770241,0.9798305084745763,0.5299108997722018
17,"[KNN(algorithm='auto', contamination=0.05, leaf_size=10, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=10, p=2,
  radius=1.0), ECOD(contamination=0.09, n_jobs=1)]",0.9108476084740771,0.9552323654226088,0.444241040085341
18,"[KNN(algorithm='auto', contamination=0.05, leaf_size=10, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=10, p=2,
  radius=1.0), COPOD(contamination=0.12, n_jobs=1)]",0.9030603848760819,0.9411050614390595,0.4115720111893667
19,"[LOF(algorithm='auto', contamination=0.05, leaf_size=1, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=34, novelty=True, p=2), PCA(contamination=0.05, copy=True, iterated_power='auto', n_components=3,
  n_selected_components=1, random_state=None, standardization=True,
  svd_solver='auto', tol=0.0, weighted=True, whiten=False)]",0.9173616972416218,0.5649673184212589,0.35480232571900305
20,"[LOF(algorithm='auto', contamination=0.05, leaf_size=1, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=34, novelty=True, p=2), Sampling(contamination=0.05, metric='minkowski', metric_params=None,
     random_state=RandomState(MT19937) at 0x1FD763FF640, subset_size=10)]",0.9367695514836043,0.9155982370014693,0.506906102928092
21,"[LOF(algorithm='auto', contamination=0.05, leaf_size=1, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=34, novelty=True, p=2), ECOD(contamination=0.09, n_jobs=1)]",0.9108672874095977,0.9453697771078188,0.4435110378323796
