combinacao;lista_detectores;acuracia;recall;f1
1;INNE;97,39;80,27;64,55
2;KNN;97,79;95,55;72,28
3;LOF;96,08;58,01;47,3
4;PCA;94,73;35,4;30,69
5;Sampling;97,23;84,97;63,78
6;ECOD;92,23;89,9;44,74
7;COPOD;90,22;97,97;41,91
8;INNE+KNN;94,36;92,44;52,84
9;INNE+LOF;94,0;90,05;51,37
10;INNE+PCA;94,22;91,12;52,1
11;INNE+Sampling;94,36;92,44;52,84
12;INNE+ECOD;92,69;95,67;49,17
13;INNE+COPOD;90,94;97,14;44,06
14;KNN+LOF;93,13;79,8;45,76
15;KNN+PCA;91,46;51,97;33,44
16;KNN+Sampling;94,03;98,0;54,09
17;KNN+ECOD;91,08;95,52;44,42
18;KNN+COPOD;90,31;94,11;41,16
19;LOF+PCA;91,74;56,5;35,48
20;LOF+Sampling;93,7;90,3;51,05
21;LOF+ECOD;91,09;94,54;44,35
22;LOF+COPOD;90,34;93,9;41,38
23;PCA+Sampling;92,58;73,2;41,81
24;PCA+ECOD;93,36;95,52;51,29
25;PCA+COPOD;90,31;94,03;41,14
26;Sampling+ECOD;91,08;95,52;44,42
27;Sampling+COPOD;90,31;94,11;41,16
28;ECOD+COPOD;90,27;91,26;41,06
29;INNE+KNN+LOF;94,0;90,05;51,37
30;INNE+KNN+PCA;94,22;91,12;52,1
31;INNE+KNN+Sampling;94,36;92,44;52,84
32;INNE+KNN+ECOD;92,69;95,67;49,17
33;INNE+KNN+COPOD;90,94;97,14;44,06
34;INNE+LOF+PCA;94,0;88,83;50,96
35;INNE+LOF+Sampling;94,0;90,05;51,37
36;INNE+LOF+ECOD;92,69;94,59;49,07
37;INNE+LOF+COPOD;91,02;96,95;44,46
38;INNE+PCA+Sampling;94,22;91,12;52,1
39;INNE+PCA+ECOD;93,9;95,67;52,63
40;INNE+PCA+COPOD;90,93;97,08;44,03
41;INNE+Sampling+ECOD;92,69;95,67;49,17
42;INNE+Sampling+COPOD;90,94;97,14;44,06
43;INNE+ECOD+COPOD;90,81;94,26;43,2
44;KNN+LOF+PCA;91,71;56,78;35,53
45;KNN+LOF+Sampling;93,72;90,3;51,12
46;KNN+LOF+ECOD;91,09;94,54;44,35
47;KNN+LOF+COPOD;90,34;93,9;41,38
48;KNN+PCA+Sampling;92,66;76,2;42,76
49;KNN+PCA+ECOD;93,36;95,52;51,29
50;KNN+PCA+COPOD;90,31;94,03;41,14
51;KNN+Sampling+ECOD;91,08;95,52;44,42
52;KNN+Sampling+COPOD;90,31;94,11;41,16
53;KNN+ECOD+COPOD;90,27;91,26;41,06
54;LOF+PCA+Sampling;92,59;72,55;42,05
55;LOF+PCA+ECOD;93,37;94,54;51,22
56;LOF+PCA+COPOD;90,34;93,83;41,34
57;LOF+Sampling+ECOD;91,09;94,54;44,35
58;LOF+Sampling+COPOD;90,34;93,9;41,38
59;LOF+ECOD+COPOD;90,22;89,29;40,59
60;PCA+Sampling+ECOD;93,36;95,52;51,29
61;PCA+Sampling+COPOD;90,31;94,03;41,14
62;PCA+ECOD+COPOD;90,27;91,26;41,06
63;Sampling+ECOD+COPOD;90,27;91,26;41,06
64;INNE+KNN+LOF+PCA;94,0;88,83;50,96
65;INNE+KNN+LOF+Sampling;94,0;90,05;51,37
66;INNE+KNN+LOF+ECOD;92,69;94,59;49,07
67;INNE+KNN+LOF+COPOD;91,02;96,95;44,46
68;INNE+KNN+PCA+Sampling;94,22;91,12;52,1
69;INNE+KNN+PCA+ECOD;93,9;95,67;52,63
70;INNE+KNN+PCA+COPOD;90,93;97,08;44,03
71;INNE+KNN+Sampling+ECOD;92,69;95,67;49,17
72;INNE+KNN+Sampling+COPOD;90,94;97,14;44,06
73;INNE+KNN+ECOD+COPOD;90,81;94,26;43,2
74;INNE+LOF+PCA+Sampling;94,0;88,83;50,96
75;INNE+LOF+PCA+ECOD;93,9;94,59;52,53
76;INNE+LOF+PCA+COPOD;91,01;96,88;44,43
77;INNE+LOF+Sampling+ECOD;92,69;94,59;49,07
78;INNE+LOF+Sampling+COPOD;91,02;96,95;44,46
79;INNE+LOF+ECOD+COPOD;90,76;92,29;42,73
80;INNE+PCA+Sampling+ECOD;93,9;95,67;52,63
81;INNE+PCA+Sampling+COPOD;90,93;97,08;44,03
82;INNE+PCA+ECOD+COPOD;90,81;94,26;43,2
83;INNE+Sampling+ECOD+COPOD;90,81;94,26;43,2
84;KNN+LOF+PCA+Sampling;92,53;72,55;41,97
85;KNN+LOF+PCA+ECOD;93,37;94,54;51,22
86;KNN+LOF+PCA+COPOD;90,34;93,83;41,34
87;KNN+LOF+Sampling+ECOD;91,09;94,54;44,35
88;KNN+LOF+Sampling+COPOD;90,34;93,9;41,38
