modelo;material;recall;acuracia;tempo
COPOD;104671;99,83;90,49;2,77
COPOD;150658;100,0;90,49;0,68
COPOD;445485;100,0;90,69;0,15
COPOD;402920;100,0;89,3;0,15
COPOD;150877;100,0;89,84;0,14
COPOD;481567;100,0;91,05;0,14
COPOD;460872;100,0;93,35;0,16
COPOD;469793;100,0;62,5;0,13
KNN+Sampling;104671;100,0;92,59;29,56
KNN+Sampling;150658;100,0;92,49;24,64
KNN+Sampling;445485;100,0;92,44;23,67
KNN+Sampling;402920;100,0;99,77;23,36
KNN+Sampling;150877;100,0;92,2;21,5
KNN+Sampling;481567;100,0;93,29;23,43
KNN+Sampling;460872;80,0;94,24;23,32
KNN+Sampling;469793;100,0;100,0;23,28
