,uasg,codigo_item_material,quantidade,cnpj_fornecedor,beneficio,marca,valor_unitario,ano
0,20001,451708,3,01377889000193,0,MSI,8999.99,2020
1,20001,451708,3,07356270000189,0,LENOVO,9000.0,2020
2,20001,451708,3,01377889000193,0,MSI,8333.33,2020
3,20001,451708,3,01377889000193,0,MSI,6666.66,2020
4,30001,469147,10,26692484000251,0,C3TECH,47400.0,2020
5,40003,451730,85,04602789000101,0,DATEN,5095.82,2018
6,40003,451778,3,38042933000114,1,DELL,8854.800000000001,2018
7,70006,460038,11,04602789000101,0,DATEN,9500.0,2020
8,70006,460038,3,32159298000173,1,DATEN,10333.0,2020
9,70010,451757,400,04602789000101,0,DATEN,2733.16,2019
10,70010,451757,103,18269230000116,0,LENOVO,4229.99,2021
11,70012,478010,3,35316374000103,0,DELL,34999.66,2021
12,70015,451774,92,00066716000353,0,LOGIN,3266.2700000000004,2018
13,70015,451774,30,79053468000102,0,NTC COMPUTADORES,3433.0,2018
14,70016,469792,9,19813573000162,1,LENOVO,5865.0,2022
15,70016,457886,5,37131927000251,0,LENOVO,26999.8,2020
16,70016,460826,17,10547557000109,0,POSITIVO,6368.69,2019
17,70021,457071,13,04602789000101,0,DATEN,8844.0,2019
18,70027,452448,4,20998285000109,0,DELL,19500.0,2020
19,70027,452448,1,20998285000109,1,DELL,19500.0,2020
20,80001,463525,4,20645805000108,1,THINKSTATION,13829.82,2021
21,80001,460038,6,03619767000515,0,HP,45233.32,2019
22,80009,451755,1,07055987000190,1,APPLE,11727.95,2018
23,90013,477455,15,03619767000515,0,HP,16700.0,2021
24,110001,453965,500,04602789000101,0,DATEN,7418.0,2020
25,110746,451712,15,11195926000104,1,PAUTA E AOC,1962.3300000000002,2018
26,110746,451703,9468,72381189001001,0,OPTIPLEX,4294.97,2018
27,110746,451705,1105,03263975000109,0,DELL,4144.0,2018
28,110746,451705,195,16443322000145,0,HP,4624.8,2018
29,113601,467573,25,03535902000110,0,DELL,22995.0,2020
30,113601,465368,150,00677870000523,0,HP INC.,6206.66,2020
31,114601,451731,1573,81243735001977,0,POSITIVO,2628.0,2019
32,114601,451731,1815,04602789000101,0,DATEN,4349.0,2019
33,114637,456721,2,29917413000117,1,APPLE,21523.5,2019
34,120016,451700,7,02544606000113,1,ROMAZE,5500.0,2018
35,120195,469793,4,58619404000814,0,DELL,45000.0,2020
36,135004,470802,2,09572429000128,1,APPLE,12250.0,2020
37,135050,456420,12,37131927000251,0,THINKSTATION,28218.7,2020
38,152005,457710,138,01590728000930,0,LENOVO,6141.78,2022
39,153010,457071,7,33887039000121,1,LETTECH,3146.85,2020
40,153036,472633,168,09353109000187,3,LENOVO,3860.0,2020
41,153036,472633,27,30948812000124,3,POSITIVO,5480.0,2020
42,153036,472633,56,09353109000187,3,LENOVO,3860.0,2020
43,153036,472633,8,30948812000124,3,POSITIVO,5480.0,2020
44,153052,451723,7,22744142000104,1,MICROCOMPUTADOR INTE,2100.0,2018
45,153052,451723,1,29205731000155,1,BR PC,3849.0,2018
46,153063,456420,10,26498396000132,0,GMPC,9792.96,2021
47,153063,451710,4,02405020000178,1,MSERVICE,3232.16,2019
48,153063,451710,2,02405020000178,1,MSERVICE,3060.09,2019
49,153063,452810,4,33493166000146,0,DELL,4348.77,2019
50,153063,452810,1,33493166000146,0,FTECH,1086.95,2019
51,153063,452810,10,13266239000150,0,GPGOLD,1815.0,2019
52,153063,462905,10,13266239000150,0,GPGOLD,1815.0,2019
53,153063,462905,1,11507711000173,0,LIBERTY PRO,6973.01,2019
54,153063,457184,2,13266239000150,0,GPGOLD,4856.97,2019
55,153063,462905,1,07766048000154,0,TERAVIX,5564.0,2019
56,153063,462905,3,13266239000150,0,GPGOLD,2666.66,2019
57,153063,469791,1,07315550000149,1,ROMAZE,5040.0,2021
58,153176,471901,2,10434081000191,1,DELL,4550.0,2020
59,153176,463525,1,11195926000104,1,GMPC,10125.0,2021
60,154043,460038,10,12980808000161,1,INTEL,989.6899999999999,2019
61,154045,469791,149,04602789000101,0,DATEN,4015.0,2020
62,154045,469792,372,81243735000903,0,POSITIVO,5346.71,2020
63,154503,451768,3,12027340000195,0,BEELINK,1430.69,2022
64,154503,451768,4,14163479000191,1,ELGIN,1645.46,2019
65,154503,456721,1,34499768000173,1,TECH SONIC,20000.0,2020
66,158125,456420,6,32314972000147,1,POSITIVO,5903.16,2022
67,158154,471901,59,18387904000187,0,HP,5830.0,2021
68,158156,457710,15,24802687000147,3,LENOVO,5978.2,2020
69,158156,457710,5,24802687000147,3,LENOVO,5978.2,2020
70,158330,451779,5,24651601000122,1,APPLE,4000.8,2019
71,158378,457071,1,37196473000116,1,DELL,3100.0,2020
72,158381,460826,5,01429437000108,1,GPGOLD,7600.0,2020
73,158711,462088,20,18516766000199,1,DATEN,3300.0,2019
74,158713,460339,50,32179865000153,0,JIQUI,2525.8,2019
75,158749,451704,35,08907239000151,0,POSITIVO,5131.0,2019
76,160111,451705,4,13266239000150,1,GPGOLD,1705.24,2019
77,160129,452810,2,08703140000138,1,NTC,2550.9,2020
78,160129,451703,1,07528036000191,1,DELL,5135.0,2020
79,160199,451706,50,30865611000163,0,ODERÇO,2460.0,2020
80,160199,457184,3,31216370000194,1,TECHCORP TCORP,7400.0,2020
81,160234,451757,7,06194394000142,1,GPGOLD,1670.0,2021
82,160239,451703,10,32179865000153,1,JIQUI,1774.0,2019
83,160247,451702,1,31472148000152,1,CERTOPC,2340.0,2019
84,160322,457184,10,11195926000104,0,GMPC,7480.0,2021
85,160365,452810,8,11195926000104,1,GMPC,2525.0,2021
86,160376,457071,1,36895360000146,1,TOB COMPUTERS,3491.33,2022
87,160438,451703,5,30635873000131,1,INTEGRALIZADO,2120.0,2021
88,160438,451703,9,13266239000150,1,GPGOLD,2110.55,2021
89,173039,457184,38,03619767000515,3,HP,7520.0,2020
90,173039,457184,12,29080193000110,3,DELL,8517.0,2020
91,179085,463525,2000,04602789000101,0,DATEN,3599.5,2021
92,179085,460038,40,03535902000110,0,DELL,17400.0,2021
93,183023,451766,2,07766048000154,1,TERAVIX,6821.0,2019
94,193002,469791,300,04602789000101,0,DATEN,5656.66,2021
95,194022,478010,25,11195926000104,3,GMPC,5471.6,2021
96,194022,478010,8,11195926000104,3,GMPC,5819.0,2021
97,200247,451712,14,37131927000251,0,LENOVO,14000.0,2020
98,203003,464203,100,04602789000101,0,DATEN,4350.0,2019
99,240001,463525,2,36327259000199,1,TECHPOWER INTEL CORE,2250.0,2020
100,240001,451754,1,37196473000116,1,COR PC,5000.0,2020
101,240001,467573,1,37196473000116,1,PC GAMER,8000.0,2020
102,240001,451705,1,18115260000178,1,HP,76202.67,2019
103,240128,460826,7,31216370000194,0,TCORP,3671.4285714285716,2019
104,240128,451731,18,31216370000194,1,TECHCORP TCORP,3625.14,2020
105,240128,451710,1,31540631000127,1,APPLE,22799.0,2020
106,244001,451713,2,11195926000104,1,GMPC,7990.0,2022
107,250052,456420,10,03535902000544,0,DELL,26500.0,2019
108,254420,456420,5,31540631000127,0,HP,33840.0,2020
109,254420,451707,3,09026910000118,0,RAZOR,60665.0,2020
110,254421,463987,10,26498396000132,0,GMPC,12345.0,2021
111,254463,460037,1,32442765000178,0,DESKTOP,13920.0,2019
112,254463,460037,1,32442765000178,0,DESKTOP,22900.0,2019
113,257028,451731,2,11195926000104,1,PAUTA E LG,2485.0,2018
114,290002,456420,4,41606504000137,0,APPLE,46500.0,2021
115,290002,456420,11,41606504000137,0,APPLE,41727.0,2021
116,290002,456420,9,24030023000107,0,IMAC 27POL I7 8GB,32000.0,2021
117,323031,451704,25,81243735000903,0,POSITIVO,5761.07,2020
118,323031,451707,8,00677870000523,0,HP,107500.0,2019
119,344001,451703,25,26692484000170,0,DELL,5017.2,2018
120,344001,457072,25,18387904000187,0,DELL,4051.6,2020
121,380007,451777,8,07900357000175,1,MXQ,560.02,2020
122,383506,451777,35,09572429000128,0,DELL,3030.77,2019
123,389047,451776,2,17635299000153,1,HP 445 G7,8050.0,2020
124,389047,451776,3,17635299000153,1,HP 445 G7,7366.66,2020
125,389047,451776,20,17635299000153,0,HP 445 G7,6448.45,2020
126,389047,451776,1,17635299000153,1,DELL,15100.0,2020
127,389169,478637,5,35316374000103,1,POSITIVO,4165.0,2021
128,389185,453965,80,29080193000110,0,DELL,7522.25,2021
129,389185,467573,10,29080193000110,0,DELL,16900.0,2021
130,389444,451762,8,26692484000170,1,DELL,4295.7,2020
131,389449,451762,2,38504819000169,1,LENOVO,6300.0,2021
132,389449,473437,6,24754357000123,1,HP,4000.0,2020
133,389449,472786,4,24754357000123,1,POSITIVO,3225.0,2020
134,389454,477455,1,16628132000100,1,OEM/INTEL,8530.0,2021
135,389454,451708,7,04447180000105,1,POSITIVO,3537.0,2020
136,495300,456420,4,89237911028908,3,DELL,30000.0,2021
137,495500,451750,1,08619872000144,1,TZ SUPER 3100,8000.0,2020
138,740100,457071,1,03619767000515,0,HP,70000.0,2020
139,765706,453965,18,13266239000150,1,GPGOLD,1544.7772222222222,2018
140,791590,457949,6,31216370000194,1,TCORP,2718.165,2019
141,791590,457949,4,13266239000150,1,GPGOLD,4894.9925,2019
142,803080,471901,4,16628132000100,0,LENOVO,72000.0,2021
143,803080,451700,5,15690857000239,0,TABLEAU,47280.0,2020
144,803080,471901,1,15690857000239,0,XRY,163000.0,2020
145,806030,477455,12,94316916000522,0,DELL,23750.0,2021
146,806030,460339,3,81433039000102,1,APPLE,6795.016666666666,2019
147,926394,457071,1,03619767000515,0,HP,1101358.8,2019
148,926438,451723,5,30725507000173,1,BRAZIL PC,3579.9980000000005,2019
149,927723,451727,4,06194394000142,1,GPGOLD,2100.0,2021
150,927723,451771,3,37196473000116,1,SKILL,2833.33,2021
151,927723,451774,3,37196473000116,1,SKILL,3133.33,2021
