,uasg,codigo_item_material,quantidade,cnpj_fornecedor,beneficio,marca,valor_unitario,ano
0,20001,462081,27,41680761000119,0,SAMSUNG,3699.96,2022
1,20001,462081,27,13977867000143,0,LENOVO,3625.0,2021
2,20001,456702,27,07766048000154,0,ACER,2209.18,2019
3,20001,461393,130,07766048000154,0,LENOVO,3916.0800000000004,2019
4,60001,451909,1,27390044000121,1,APPLE,46198.0,2021
5,70004,470861,43,19340730000160,0,ACER,9400.0,2021
6,70004,470861,7,29564455000111,1,DELL,9400.0,2021
7,70010,469795,30,30948812000124,0,VAIO,4899.0,2022
8,70010,462084,40,30948812000124,0,DELL,3500.0,2019
9,70010,457189,14,26692484000170,0,DELL,4894.92,2019
10,70010,469795,146,04602789000101,0,DATEN,4917.8,2021
11,70012,463301,49,17635299000153,3,DELL,4470.0,2020
12,70012,463301,16,17635299000153,3,DELL,4470.0,2020
13,70014,457188,100,89237911028908,0,HP,6680.0,2021
14,70015,453966,80,07900357000175,3,LENOVO,4864.15,2021
15,70015,453966,22,07900357000175,3,LENOVO,4864.15,2021
16,70015,457189,1,10434081000191,1,APPLE,24352.0,2020
17,70021,453966,50,89237911028908,0,HP,6040.0,2019
18,70027,457954,1,20998285000109,1,DELL,14500.0,2020
19,80009,470861,1,31540631000127,1,APPLE,18300.0,2021
20,100001,469795,300,72381189001001,3,DELL,7315.0,2021
21,100001,469795,100,29080193000110,3,DELL,8500.0,2021
22,100001,480493,2,38504819000169,1,DELL,12990.0,2021
23,100009,469795,48,18269230000116,0,DELL,7462.4,2021
24,110120,460338,1,13831145000186,1,APPLE,13762.96,2019
25,110120,456702,40,37131927000170,0,LENOVO,8283.7,2020
26,110746,451901,1016,72381189001001,0,DELL,5368.41,2018
27,114601,451903,60,04602789000101,0,DATEN,4099.929999999999,2019
28,135001,456702,1,10434081000191,1,DELL,7800.0,2020
29,135001,480493,8,27030815000170,1,DELL,6100.0,2021
30,135050,471902,20,26692484000251,0,DELL,7000.0,2020
31,152005,471902,37,27995686000154,0,VAIO,4530.0,2020
32,152005,471902,13,27995686000154,0,VAIO,4530.0,2020
33,153028,462904,30,17222414000168,0,LENOVO,7746.0,2020
34,153028,462904,10,17222414000168,0,LENOVO,7746.0,2020
35,153030,458479,111,12477490000109,0,LENOVO,4652.99,2020
36,153030,459991,1,10547557000109,1,ACER,4888.88,2019
37,153036,470245,14,22132342000106,0,ACER,9750.0,2020
38,153036,470245,10,24802687000147,3,ACER,10683.9,2020
39,153036,470245,3,24802687000147,3,ACER,10683.9,2020
40,153052,451924,1,30433567000112,1,POSITIVO,4121.75,2019
41,153061,463301,18,33260627000130,0,LENOVO,4166.61,2020
42,153061,451910,1,29564455000111,1,DELL,7500.0,2021
43,153063,478640,2,33884155000197,1,DELL,8678.25,2021
44,153063,478640,1,33884155000197,1,LENOVO,7055.0,2021
45,153063,451907,1,02405020000178,1,ACER,4032.33,2019
46,153063,457189,1,21487782000105,0,LENOVO,4525.21,2019
47,153063,461393,2,21487782000105,0,LENOVO,2300.0,2019
48,153063,461393,4,35527128000192,0,LENOVO,3300.0,2019
49,153063,461393,10,21487782000105,0,LENOVO,1899.9900000000002,2019
50,153063,462904,1,21487782000105,0,LENOVO,4525.21,2019
51,153063,461393,1,21487782000105,0,SAMSUNG,2609.0,2019
52,153063,461393,1,21487782000105,0,LENOVO,1884.32,2019
53,153063,470861,9,40508894000140,1,ACER,3900.0,2021
54,153063,456702,5,12130958000186,1,LENOVO,4174.67,2021
55,153079,453966,10,18563457000170,1,LENOVO,7753.0,2021
56,153173,451903,5,09450715000110,1,SAMSUNG,3766.0,2021
57,153251,465779,1,28323138000140,1,ACER,4850.0,2020
58,153251,451923,2,34499768000173,1,POSITIVO,3129.26,2020
59,154034,456702,33,43182905000132,0,LENOVO,3999.98,2021
60,154042,451900,2,21923224000145,1,POSITIVO,3370.0,2021
61,154042,451907,4,21923224000145,1,SAMSUNG,4306.5,2021
62,154051,451925,17,32699271000173,1,LENOVO,3646.47,2020
63,154051,451907,3,10434081000191,1,DELL,5499.0,2020
64,154051,460338,1,30725507000173,1,ACER,2728.8,2019
65,154358,451907,1,10434081000191,1,DELL,11190.0,2020
66,154358,456702,1,26423448000101,1,APPLE,33500.0,2021
67,158092,462267,20,08482425000196,0,SAMSUNG,4072.0,2020
68,158154,451907,3,14499338000144,1,ACER,3587.96,2020
69,158154,460338,4,18387904000187,1,ACER,10524.99,2021
70,158156,457188,2,10434081000191,1,DELL,10950.0,2020
71,158156,451903,8,10434081000191,1,DELL,4663.0,2020
72,158156,451910,1,36064568000113,1,DELL,8286.0,2020
73,158157,457188,10,26692484000251,0,ACER,10050.79,2021
74,158157,457188,6,41680761000119,1,DELL,10492.33,2021
75,158161,451901,1,35316374000103,0,APPLE,11188.0,2020
76,158195,456702,5,38504819000169,1,DELL,9900.0,2020
77,158274,460338,3,05207424000145,1,LENOVO,2125.0,2019
78,158528,451913,3,24030023000107,1,APPLE,13333.0,2020
79,158528,457188,2,24030023000107,1,APPLE,24500.0,2020
80,158579,457188,1,27500796000106,1,VAIO,4395.0,2019
81,160111,451907,4,07766048000154,1,LENOVO,2930.7475,2019
82,160129,462267,2,08703140000138,1,DELL,5294.5,2020
83,160291,457953,1,27499665000148,1,AVELL,9774.0,2019
84,160517,465779,20,22132342000106,1,COMPAQ,2660.0,2020
85,173039,469795,96,03619767000515,3,HP,8700.0,2021
86,173039,469795,31,03619767000515,3,HP,8700.0,2021
87,179007,453966,330,72381189001001,0,DELL,7675.0,2022
88,183023,451924,1,02596872000190,1,DELL,4698.0,2019
89,200331,462904,4,01335437000149,1,DELL,10375.0,2020
90,200331,462904,4,11329948000101,1,HP,10117.5,2020
91,200331,462904,8,11329948000101,3,HP,7810.0,2020
92,200331,462904,2,11329948000101,3,HP,7810.0,2020
93,201014,462904,417,21997155000114,3,LENOVO,5871.0,2020
94,203003,469794,12,00461255000151,0,POSITIVO,5040.0,2022
95,240001,462081,2,36327259000199,1,LENOVO,4212.5,2020
96,240114,459990,4,02596872000190,0,DELL,5839.75,2019
97,240128,460338,3,08482425000196,0,ACER,4733.333333333333,2019
98,240128,451899,2,07528036000191,1,DELL,8940.8,2021
99,240128,451899,1,28849946000146,1,APPLE,22795.0,2021
100,240128,451910,1,27390044000121,1,APPLE,26950.0,2020
101,254420,451909,6,36984127000130,0,HP,23969.0,2022
102,254421,462904,3,33486276000180,1,SAMSUNG,7626.33,2021
103,254421,462904,2,85485290000163,1,ACER,5094.0,2021
104,257025,459991,2,08257348000170,1,LENOVO,3490.0,2019
105,257028,451926,2,02967807000123,1,ASUS,4120.0,2018
106,323031,457188,120,03619767000515,3,HP,9491.0,2020
107,323031,451903,18,81243735001977,0,POSITIVO,4546.68,2020
108,323031,457189,2,21997155000114,1,APPLE,22918.5,2020
109,325001,453966,1,03535902000544,0,DELL,1800000.0,2021
110,333005,457189,20,04602789000101,0,DATEN,5048.0,2020
111,343003,451926,1,29804579000127,0,APPLE,18420.14,2018
112,383500,462904,46,10793812000195,3,LENOVO,5499.99,2021
113,383500,462904,11,32159298000173,3,DATEN,5714.0,2021
114,383506,451910,5,40143803000110,1,DELL,5556.5,2021
115,389090,471902,10,38504819000169,1,DELL,4990.0,2020
116,389090,471902,1,24802687000147,1,DELL,12800.0,2020
117,389090,480493,4,11195926000104,0,ACER,5097.5,2021
118,389169,470861,4,38504819000169,1,DELL,5875.0,2021
119,389174,465442,15,42645136000107,0,SAMSUNG,6566.66,2021
120,389174,465442,2,42645136000107,0,DELL,8900.0,2021
121,389174,451899,1,08257348000170,1,DELL,6482.0,2019
122,389175,470861,3,10434081000191,1,DELL,12696.0,2020
123,389185,456702,30,20645805000108,0,LENOVO,6800.0,2021
124,389297,457188,33,08615859000117,0,DELL,15880.0,2020
125,389297,457189,454,00006879000260,0,LENOVO,5044.0,2020
126,389425,462904,50,89237911028908,0,DELL,5660.0,2020
127,389442,451907,1,37196473000116,1,LENOVO,2950.0,2020
128,389449,462081,5,20426511000187,1,LENOVO,4594.6,2020
129,389454,459990,4,10434081000191,1,DELL,5150.0,2020
130,393028,469794,8,41680761000119,1,DELL,5422.21,2021
131,393028,469794,10,24802687000147,1,LENOVO,4833.59,2020
132,399003,480493,3,01335437000149,0,ACER,8941.5,2022
133,399008,460338,18,00006879000260,0,LENOVO,4027.7599999999998,2020
134,399008,460338,6,34125760000147,1,ACER,5900.0,2020
135,443001,457189,200,07766048000154,0,LENOVO,5535.0,2019
136,443001,453966,2,07766048000154,1,APPLE,10187.0,2019
137,443033,451925,2,30357688000122,1,ACER,3895.64,2018
138,495550,462081,2,34213521000149,1,LENOVO,4992.52,2020
139,765706,461393,1,08482425000196,1,ACER,2810.0,2018
140,806030,451909,1,85485290000163,1,APPLE,13800.0,2019
141,806030,462083,4,81433039000102,1,APPLE,6719.7175,2019
142,925163,458479,4,09033442000109,0,DELL,4500.0,2021
143,926164,461393,158,18944251000190,3,HP,10538.0,2020
144,926164,461393,7,18944251000190,3,HP,10538.0,2020
145,926171,462267,24,10793812000195,3,LENOVO,10546.09,2021
146,926171,462267,6,10793812000195,3,LENOVO,10546.09,2021
147,926171,462267,53,11329948000101,3,LENOVO,6745.25,2021
148,926171,462267,17,11329948000101,3,LENOVO,6745.25,2021
149,926265,456702,36,27975551000127,0,LENOVO,5696.06,2022
150,926265,456702,52,27975551000127,0,LENOVO,4920.07,2022
151,926560,460338,7,03655629000168,1,VAIO,5257.1,2021
152,926560,469144,2,09170651000102,1,DELL,8116.0,2021
153,926665,470245,10,38422516000105,1,ACER,4279.0,2021
154,926665,470861,3,02596872000190,1,DELL,6595.0,2021
155,927723,456702,8,13977867000143,1,VAIO,3880.0,2021
156,974002,462904,89,04602789000101,0,DATEN,4814.0,2020
