id,nome,id_orgao,id_municipio,cnpj,cep,total_fornecedores_cadastrados,total_fornecedores_recadastrados,unidade_cadastradora,ativo
10001,CAMARA DOS DEPUTADOS,1000.0,97012.0,530352000159.0,70160900.0,0,0,0,1
10002,CAMARA DOS DEPUTADOS - UG P/CONSULTA,1000.0,97012.0,530352000159.0,70000000.0,0,0,0,1
10003,CAMARA DOS DEPUTADOS - AUDITORIA,1000.0,,,70000000.0,0,0,0,0
10004,MESA DA CAMARA DOS DEPUTADOS,1000.0,,,70160900.0,0,0,0,0
10005,PLENARIO DA CAMARA DOS DEPUTADOS,1000.0,,,70160900.0,0,0,0,0
10006,SECRETARIA-GERAL DA MESA,1000.0,,,70160900.0,0,0,0,0
10007,SECRETARIA DE CONTROLE INTERNO,1000.0,,,70160900.0,0,0,0,0
10008,SECRETARIA DE COMUNICACAO SOCIAL,1000.0,,,70160900.0,0,0,0,0
10009,LIDERANCAS PARTIDARIAS,1000.0,,,70160900.0,0,0,0,0
10010,PARTIDOS POLITICOS,1000.0,,,70160900.0,0,0,0,0
10011,"DIRETORIA-GERAL(GABINETE,ATEC,AUDITORIA)",1000.0,,,70160900.0,0,0,0,0
10012,DEPARTAMENTO DE APOIO PARLAMENTAR,1000.0,,,70160900.0,0,0,0,0
10013,DEPARTAMENTO MEDICO,1000.0,,,70160900.0,0,0,0,0
10014,"CENTRO DE FORMACAO,TREIN.E APERFEICOAMENTO",1000.0,,,70160900.0,0,0,0,0
10015,COORDENACAO DE HABITACAO,1000.0,,,70160900.0,0,0,0,0
10016,SECRETARIA EXECUTIVA DO PRO-SAUDE,1000.0,,,70160900.0,0,0,0,0
10017,DIRETORIA ADM.- GABINETE,1000.0,,,70160900.0,0,0,0,0
10018,CENTRO DE INFORMATICA,1000.0,,,70160900.0,0,0,0,0
10019,"DEP.DE FINANCAS,ORCAMENTO E CONTABILIDADE",1000.0,,,70160900.0,0,0,0,0
10020,DEPARTAMENTO DE MATERIAL E PATRIMONIO,1000.0,,,70160900.0,0,0,0,0
10021,DEPARTAMENTO DE PESSOAL,1000.0,,,70160900.0,0,0,0,0
10022,DEPARTAMENTO TECNICO,1000.0,,,70160900.0,0,0,0,0
10023,DIRETORIA LEGISLATIVA,1000.0,,,70160900.0,0,0,0,0
10024,CENTRO DE DOCUMENTACAO E INFORMATICA,1000.0,,,70160900.0,0,0,0,0
10025,CONSULTORIAS LEGISLATIVA E DE ORCAMENTO,1000.0,,,70160900.0,0,0,0,0
10026,DEPARTAMENTO DE COMISSOES,1000.0,,,70160900.0,0,0,0,0
10027,COMISSOES PERMANENTES,1000.0,,,70160900.0,0,0,0,0
10028,COMISSOES PARLAMENTARES DE INQUERITO,1000.0,,,70160900.0,0,0,0,0
10029,"DEPART. DE TAQUIGRAFIA, REVISAO E REDACAO",1000.0,,,70160900.0,0,0,0,0
10030,DEPARTAMENTO DE POLICIA LEGISLATIVA,1000.0,,,70000000.0,0,0,0,0
10031,DIRETORIA DE RECURSOS HUMANOS,1000.0,,,11111111.0,0,0,0,0
10032,PROCURADORIA PARLAMENTAR,1000.0,,,11111111.0,0,0,0,0
10033,OUVIDORIA PARLAMENTAR,1000.0,,,11111111.0,0,0,0,0
10034,COORDENACAO DE RELACOES PUBLICAS,1000.0,,,11111111.0,0,0,0,0
10035,ASSESSORIA DE PROJETOS ESPECIAIS,1000.0,,,11111111.0,0,0,0,0
10036,CONSELHO DE ALTOS ESTUDOS E AVAL. TECNOLOGICA,1000.0,,,11111111.0,0,0,0,0
10037,COORDENACAO DE RELACOES PUBLICAS,1000.0,,,11111111.0,0,0,0,0
10090,FUNDO ROTATIVO DA CAMARA DOS DEPUTADOS,1901.0,97012.0,,70160900.0,0,0,0,1
15873,INST FED.DE EDUC. CIENC.E.TEC.DA PARAIBA,26417.0,21296.0,,58187000.0,0,0,0,1
18001,CAMARA DOS DEPUTADOS - DIF. DA INTEGRACAO,1000.0,,,11111000.0,0,0,0,0
20001,SENADO FEDERAL,2000.0,97012.0,530279000115.0,70165900.0,0,0,0,1
20002,CENTRO GRAFICO DO SENADO FEDERAL,2000.0,97012.0,530279000549.0,70000000.0,0,0,0,0
20003,CENTRO DE INFORMATICA E PROCES.DE DADOS DO DF,2000.0,97012.0,530279000468.0,70000000.0,0,0,0,1
20004,SENADO FEDERAL - UG P/CONSULTA,2000.0,97012.0,530279000115.0,70000000.0,0,0,0,1
20005,SENADO FEDERAL - AUDITORIA,2000.0,97012.0,530279000115.0,70000000.0,0,0,0,0
20006,PRESIDENCIA DO SENADO FEDERAL,2000.0,97012.0,530279000115.0,70000000.0,0,0,0,0
20007,PRIMEIRA SECRETARIA,2000.0,,,70000000.0,0,0,0,0
20008,DIRETORIA GERAL,2000.0,,,70000000.0,0,0,0,0
20009,SECRETARIA GERAL DA MESA,2000.0,,,70000000.0,0,0,0,0
20010,SUBSECRETARIA DE COORD.LEG. DO SENADO FEDERAL,2000.0,,,70000000.0,0,0,0,0
20011,SUBSECRETARIA DE COORD. LEG. DO CONG.NACIONAL,2000.0,,,70000000.0,0,0,0,0
20012,SUBSECRETARIA DE EXPEDIENTE,2000.0,,,70000000.0,0,0,0,0
20013,CONSULTORIA LEGISLATIVA,2000.0,,,70000000.0,0,0,0,0
20014,CORREGEDORIA DO SENADO FEDERAL,2000.0,,,70000000.0,0,0,0,0
20015,CONSULTORIA DE ORCAMENTO,2000.0,,,70000000.0,0,0,0,0
20016,ADVOCACIA DO SENADO FEDERAL,2000.0,,,70000000.0,0,0,0,0
20017,SECRETARIA DE CONTROLE INTERNO,2000.0,,,70000000.0,0,0,0,0
20018,SECRETARIA ADMINISTRATIVA,2000.0,,,70000000.0,0,0,0,0
20019,SUBSECRETARIA DE ADMINISTRACAO FINANCEIRA,2000.0,,,70000000.0,0,0,0,0
20020,SUBSECRETARIA DE ADM.DE MATERIAL E PATRIMONIO,2000.0,,,70000000.0,0,0,0,0
20021,"SUBSECRET.DE ADM.DE COMPRAS,CONT.E ALIENACOES",2000.0,,,70000000.0,0,0,0,0
20022,SUBSECRETARIA DE ADMINISTRACAO DE PESSOAL,2000.0,,,70000000.0,0,0,0,0
20023,SECRETARIA DE COMUNICACAO SOCIAL,2000.0,,,70000000.0,0,0,0,0
20024,SUBSECRETARIA DE DIVULGACAO,2000.0,,,70000000.0,0,0,0,0
20025,SUBSECRETARIA DE RELACOES PUBLICAS,2000.0,,,70000000.0,0,0,0,0
