"licitacao_contrato";"id";"data";"catmat_id";"quantidade";"unidade";"valor_unitario";"valor_total"
0;652047;"2022-02-04";422284;45;"";30.45;1370.25
0;652048;"2022-02-04";71889;20;"";399.95;7999.0
0;652049;"2022-02-04";459872;20;"";68.0;1360.0
0;762436;"2022-01-07";330684;2;"";165000.0;330000.0
0;793471;"2022-07-13";2151;250;"";69.84;17458.9
0;804309;"2022-01-03";461651;21000;"";5.49;115290.0
0;805209;"2022-01-07";330684;1;"";165000.0;165000.0
0;808806;"2022-01-12";463988;120;"";16.53;1983.6
0;808807;"2022-01-12";446618;1000;"";14.5;14500.0
0;819370;"2022-01-03";450;180;"";1050.0;189000.0
0;819371;"2022-01-03";404135;1;"";860000.0;860000.0
0;819372;"2022-01-03";404135;1;"";860000.0;860000.0
0;819379;"2022-01-03";122971;4;"";13530.8;54123.3
0;819380;"2022-01-03";122971;2;"";13530.8;27061.6
0;819457;"2022-01-03";473590;2;"";130000.0;260000.0
0;819458;"2022-01-03";473590;2;"";40000.0;80000.0
0;819459;"2022-01-03";473590;2;"";21000.0;42000.0
0;819460;"2022-01-03";439607;12;"";12800.0;153600.0
0;819461;"2022-01-03";460902;1;"";16345.0;16345.0
0;819462;"2022-01-03";458914;2;"";65.0;130.0
0;819463;"2022-01-03";470758;1;"";2600.0;2600.0
0;819464;"2022-01-03";470758;4;"";998.0;3992.0
0;819465;"2022-01-03";470758;1;"";2600.0;2600.0
0;819466;"2022-01-03";470758;1;"";3968.0;3968.0
0;819467;"2022-01-03";399551;2;"";11540.0;23080.0
0;819468;"2022-01-03";472728;1;"";24125.0;24125.0
0;819469;"2022-01-03";414201;5;"";2000.0;10000.0
0;819470;"2022-01-03";399742;10;"";3500.0;35000.0
0;819471;"2022-01-03";480211;4;"";13604.0;54416.0
0;819472;"2022-01-03";150925;1;"";23690.0;23690.0
0;819473;"2022-01-03";388407;4;"";8500.0;34000.0
0;819474;"2022-01-03";463274;1;"";9000.0;9000.0
0;819475;"2022-01-03";342129;1;"";19578.0;19578.0
0;819476;"2022-01-03";342129;1;"";32000.0;32000.0
0;819477;"2022-01-03";291791;11;"";10000.0;110000.0
0;819478;"2022-01-03";318896;10;"";2000.0;20000.0
0;819479;"2022-01-03";455623;2;"";3283.0;6566.0
0;819480;"2022-01-03";41629;1;"";7500.0;7500.0
0;819481;"2022-01-03";479552;1;"";3500.0;3500.0
0;819482;"2022-01-03";12785;7;"";378.0;2646.0
0;819483;"2022-01-03";329340;13;"";550.0;7150.0
0;819484;"2022-01-03";475677;2;"";11796.0;23592.0
0;819485;"2022-01-03";470246;3;"";92.0;276.0
0;819486;"2022-01-03";399228;3;"";92.0;276.0
0;819487;"2022-01-03";360807;3;"";92.0;276.0
0;819488;"2022-01-03";41106;3;"";86.0;258.0
0;819489;"2022-01-03";443535;1;"";19496.0;19496.0
0;819490;"2022-01-03";150925;1;"";13264.0;13264.0
0;819491;"2022-01-03";125458;3;"";1834.0;5502.0
0;819492;"2022-01-03";112771;5;"";1937.4;9687.0
0;819493;"2022-01-03";451875;1;"";7333.0;7333.0
0;819500;"2022-01-03";470174;8;"";2000.0;16000.0
0;819568;"2022-01-03";129178;1;"";45145.7;45145.7
0;819570;"2022-01-03";22292;30;"";5489.0;164670.0
0;819571;"2022-01-03";468979;125;"";2986.0;373250.0
0;819572;"2022-01-03";22292;130;"";6580.0;855400.0
0;819573;"2022-01-03";22292;232;"";27496.0;6379070.0
0;819716;"2022-01-03";150471;4;"";1400.0;5600.0
0;819717;"2022-01-03";120790;10;"";825.0;8250.0
0;819718;"2022-01-03";120790;6;"";1371.66;8229.96
0;819776;"2022-01-03";113026;1290;"";97.59;125891.0
0;822052;"2022-01-03";404135;1;"";860000.0;860000.0
0;822053;"2022-01-03";404135;1;"";860000.0;860000.0
0;822123;"2022-01-04";228203;300;"";49.08;14724.0
0;822148;"2022-01-04";445485;420;"";12.0;5040.0
0;822149;"2022-01-03";267911;50;"";296.0;14800.0
0;822150;"2022-01-03";343867;10;"";1550.0;15500.0
0;822211;"2022-01-03";460924;182336;"";23.21;4232020.0
0;822212;"2022-01-04";354345;2000;"";35.0;70000.0
0;822213;"2022-01-04";354356;2400;"";34.3;82320.0
0;822214;"2022-01-04";333846;400;"";35.0;14000.0
0;822231;"2022-01-03";272846;5207400;"";1.71;8904650.0
0;822265;"2022-01-03";449803;150;"";35.2;5279.4
0;822292;"2022-01-03";446052;1;"";30195.0;30195.0
0;822317;"2022-01-04";434415;4000;"";10.5;42000.0
0;822328;"2022-01-04";435202;35000;"";0.2;7000.0
0;822329;"2022-01-04";313379;8000;"";1.6;12800.0
0;822330;"2022-01-04";428624;20000;"";0.15;3000.0
0;822331;"2022-01-04";434417;5000;"";8.8;44000.0
0;822332;"2022-01-04";434416;6000;"";10.2;61200.0
0;822333;"2022-01-04";269894;900;"";32.8;29520.0
0;822334;"2022-01-04";269893;1100;"";32.8;36080.0
0;822335;"2022-01-04";269892;750;"";32.8;24600.0
0;822336;"2022-01-04";331174;2000;"";5.4;10800.0
0;822337;"2022-01-04";269943;2000;"";10.2;20400.0
0;822338;"2022-01-04";437177;6000;"";0.7;4200.0
0;822339;"2022-01-04";437178;3000;"";0.88;2640.0
0;822340;"2022-01-04";437179;3000;"";0.92;2760.0
0;822341;"2022-01-04";437180;5000;"";0.95;4750.0
0;822342;"2022-01-04";437166;4000;"";0.22;880.0
0;822343;"2022-01-04";437167;3000;"";0.32;960.0
0;822344;"2022-01-04";269587;30000;"";0.6;18000.0
0;822345;"2022-01-04";386126;4500;"";1.28;5760.0
0;822346;"2022-01-04";386127;4000;"";1.68;6720.0
0;822347;"2022-01-04";437863;6000;"";9.38;56280.0
0;822348;"2022-01-04";439705;20000;"";0.45;9000.0
0;822349;"2022-01-04";439694;15000;"";0.3;4500.0
0;822350;"2022-01-04";267203;168000;"";0.14;23520.0
0;822351;"2022-01-04";268252;33600;"";0.87;29232.0
0;822352;"2022-01-04";267205;16800;"";1.28;21504.0
0;822353;"2022-01-04";267777;16800;"";0.75;12600.0
0;822374;"2022-01-04";240199;74;"";169.5;12543.0
0;822375;"2022-01-04";361797;14;"";985.0;13790.0
0;822376;"2022-01-04";381531;5;"";21.5;107.5
0;822377;"2022-01-04";326199;10;"";138.0;1380.0
0;822378;"2022-01-04";357236;4;"";220.0;880.0
0;822379;"2022-01-04";421716;2;"";138.0;276.0
0;822380;"2022-01-04";421715;2;"";295.0;590.0
0;822381;"2022-01-04";333180;4;"";725.0;2900.0
0;822382;"2022-01-04";378181;30;"";37.5;1125.0
0;822383;"2022-01-04";232710;1;"";4780.0;4780.0
0;822384;"2022-01-04";34703;17;"";925.0;15725.0
0;822385;"2022-01-04";238908;2;"";1280.0;2560.0
0;822386;"2022-01-04";400722;8;"";1580.0;12640.0
0;822736;"2022-01-03";462074;1;"";100000.0;100000.0
0;822809;"2022-01-03";131903;37;"";41053.7;1518990.0
0;822858;"2022-01-04";460872;1;"";16548.6;16548.6
0;822875;"2022-01-05";456443;30;"";17.75;532.5
0;822876;"2022-01-05";456273;30;"";21.71;651.3
0;822877;"2022-01-05";456273;30;"";22.48;674.4
0;822878;"2022-01-05";456273;60;"";14.25;855.0
0;822879;"2022-01-05";456443;90;"";19.21;1728.9
0;822880;"2022-01-05";456443;30;"";22.96;688.8
0;822881;"2022-01-05";470879;10;"";13.44;134.4
0;822882;"2022-01-05";470879;10;"";12.72;127.2
0;822883;"2022-01-05";470879;10;"";13.98;139.8
0;822884;"2022-01-05";411718;10;"";14.84;148.4
0;822938;"2022-01-04";417113;0;"";0.0;0.0
0;822939;"2022-01-04";446085;0;"";0.0;0.0
0;823029;"2022-01-04";313389;1;"";170000.0;170000.0
0;823030;"2022-01-04";6319;21;"";1558.0;32718.0
0;823031;"2022-01-04";6319;18;"";2381.0;42858.0
0;823032;"2022-01-04";6319;2;"";3754.0;7508.0
0;823070;"2022-01-04";343247;0;"";0.0;0.0
0;823072;"2022-01-04";449403;5;"";29121.8;145609.0
0;823085;"2022-01-04";331743;0;"";0.0;0.0
0;823086;"2022-01-04";334306;0;"";0.0;0.0
0;823087;"2022-01-04";354148;0;"";0.0;0.0
0;823088;"2022-01-04";334306;0;"";0.0;0.0
0;823089;"2022-01-04";331743;0;"";0.0;0.0
0;823090;"2022-01-04";334306;0;"";0.0;0.0
0;823091;"2022-01-04";334306;0;"";0.0;0.0
0;823092;"2022-01-04";334306;0;"";0.0;0.0
0;823095;"2022-01-04";331743;0;"";0.0;0.0
0;823096;"2022-01-04";331743;0;"";0.0;0.0
0;823097;"2022-01-04";326275;0;"";0.0;0.0
0;823098;"2022-01-04";326275;0;"";0.0;0.0
0;823099;"2022-01-04";326275;0;"";0.0;0.0
0;823204;"2022-01-04";416461;2;"";55.0;110.0
0;823205;"2022-01-04";445457;5;"";168.0;840.0
0;823206;"2022-01-04";356401;200;"";1.5;300.0
0;823207;"2022-01-04";328135;1;"";1000.0;1000.0
0;823247;"2022-01-04";268315;975000;"";1.7;1657010.0
0;823248;"2022-01-04";268317;1400;"";115.82;162153.0
