codigo,descricao,codigo_grupo
1005,ARMAS DE FOGO DE CALIBRE ATÉ 120MM                                                                                      ,10
1010,ARMAS DE FOGO DE CALIBRE ACIMA DE 30MM ATÉ 75MM                                                                         ,10
1015,ARMAS DE FOGO DE CALIBRE ACIMA DE 75MM ATÉ 125MM                                                                        ,10
1020,ARMAS DE FOGO DE CALIBRE ACIMA DE 125MM ATÉ 150MM                                                                       ,10
1025,ARMAS DE FOGO DE CALIBRE ACIMA DE 150MM ATÉ 200MM                                                                       ,10
1030,ARMAS DE FOGO DE CALIBRE ACIMA DE 200MM ATÉ 300MM                                                                       ,10
1035,ARMAS DE FOGO DE CALIBRE ACIMA DE 300MM                                                                                 ,10
1040,ARMAMENTO E EQUIPAMENTOS DE GUERRA QUÍMICA                                                                              ,10
1045,LANÇADORES DE TORPEDOS E DE BOMBAS DE PROFUNDIDADE                                                                      ,10
1055,LANÇADORES DE FOGUETES E PIROTÉCNICOS                                                                                   ,10
1070,REDES SUBMARINAS DE DEFESA DE PORTOS                                                                                    ,10
1075,EQUIPAMENTOS DE DESMAGNETIZAÇÃO E DE VARREDURA DE MINAS                                                                 ,10
1080,EQUIPAMENTOS DE CAMUFLAGEM E DE DISSIMULAÇÃO                                                                            ,10
1090,CONJUNTOS INTERCAMBIÁVEIS DE DUAS OU MAIS CLASSES                                                                       ,10
1095,ARMAMENTOS DIVERSOS                                                                                                     ,10
1105,BOMBAS NUCLEARES                                                                                                        ,11
1110,PROJÉTEIS NUCLEARES                                                                                                     ,11
1115,OGIVAS NUCLEARES E SEÇÕES DE OGIVAS NUCLEARES                                                                           ,11
1120,BOMBAS NUCLEARES DE PROFUNDIDADE                                                                                        ,11
1125,CARGAS NUCLEARES DE DEMOLIÇÃO                                                                                           ,11
1127,FOGUETES NUCLEARES                                                                                                      ,11
1130,CONJUNTOS DE CONVERSÃO PARA ARMAMENTO NUCLEAR                                                                           ,11
1135,DISPOSITIVOS DE DETONAÇÃO E DISPARO DE ARMAMENTO                                                                        ,11
1140,COMPONENTES NUCLEARES                                                                                                   ,11
1145,COMPONENTES EXPLOSIVOS E PIROTÉCNICOS DE ARMAMENTO NUCLEAR                                                              ,11
1190,EQUIPAMENTO ESPECIALIZADO DE MANUSEIO E ENSAIO DE  ARMAMENTONUCLEAR                                                     ,11
1195,MATERIAL BÉLICO NUCLEAR DIVERSOS                                                                                        ,11
1210,DIRETORAS DE CONTROLE DE TIRO                                                                                           ,12
1220,DISPOSITIVOS E CORRETORES DE CONTROLE DE TIRO                                                                           ,12
1230,SISTEMAS COMPLETOS DE CONTROLE DE TIRO                                                                                  ,12
1240,EQUIPAMENTOS ÓTICOS DE VISADA E MEDIÇÃO DE DISTÂNCIA                                                                    ,12
1250,MECANISMOS DE ESTABILIZAÇÃO E CONTROLE DE TIRO                                                                          ,12
1260,EQUIPAMENTO DE DESIGNAÇÃO E INDICAÇÃO DE CONTROLE DE TIRO                                                               ,12
1265,EQUIPAMENTO DE RECEPÇÃO E TRANSMISSÃO DE  CONTROLE  DE  TIRO(EXCETO DE AERONAVE)                                        ,12
1270,COMPONENTES DE CONTROLE DE TIRO DE AERONAVES                                                                            ,12
1280,COMPONENTES DE CONTROLE DE TIRO EM AERONAVES DE BOMBARDEIO                                                              ,12
1285,EQUIPAMENTO RADAR DE CONTROLE DE TIRO (EXCETO DE AERONAVES)                                                             ,12
1287,EQUIPAMENTO SONAR DE CONTROLE DE TIRO                                                                                   ,12
1290,EQUIPAMENTOS DIVERSOS DE CONTROLE DE TIRO                                                                               ,12
1295,EQUIPAMENTO DE CONTROLE DE TIRO DIVERSOS                                                                                ,12
1305,MUNIÇÃO DE CALIBRE ATÉ 30 MM                                                                                            ,13
1310,MUNIÇÃO DE CALIBRE ACIMA DE 30 MM ATÉ 75 MM                                                                             ,13
1315,MUNIÇÃO DE CALIBRE ACIMA DE 75MM ATÉE 125MM                                                                             ,13
1320,MUNIÇÃO DE CALIBRE ACIMA DE 125 MM                                                                                      ,13
1325,BOMBAS                                                                                                                  ,13
1330,GRANADAS                                                                                                                ,13
1336,OGIVAS E COMPONENTES EXPLOSIVOS DE MISSEIS GUIADOS                                                                      ,13
1337,UNIDADES DE PROPULSAO EXPLOSIVA A COMBUSTIVEL SOLIDO DE VEICULOS ESPACIAIS E MISSEIS GUIADOS E SEUS COMPONENTES         ,13
1338,UNIDADES DE PROPULSAO INERTES A COMBUSTIVEL SOLIDO DE VEICULOS ESPACIAIS E MISSEIS GUIADOS E SEUS COMPONENTES           ,13
1340,"ROJÕES, FOGUETES, MUNIÇÃO E COMPONENTES                                                                                 ",13
1345,MINAS TERRESTRES                                                                                                        ,13
1346,MUNIÇÕES DE CONTROLE À DISTÂNCIA                                                                                        ,13
1350,COMPONENTES INERTES DE MINA SUBMARINA                                                                                   ,13
1351,COMPONENTES EXPLOSIVOS DE MINAS SUBMARINAS                                                                              ,13
1352,DISPOSITIVOS INERTES DE MINAS SUBAQUÁTICAS                                                                              ,13
1353,DISPOSITIVOS EXPLOSIVOS DE MINAS SUBAQUÁTICAS                                                                           ,13
1355,COMPONENTES INERTES DE TORPEDOS                                                                                         ,13
1356,COMPONENTES EXPLOSIVOS DE TORPEDOS                                                                                      ,13
1360,COMPONENTES INERTES DE CARGAS DE PROFUNDIDADE                                                                           ,13
1361,COMPONENTES EXPLOSIVOS DE BOMBAS DE PROFUNDIDADE                                                                        ,13
1365,PRODUTOS QUIMICOS DE USO MILITAR                                                                                        ,13
1367,CONJUNTOS E EQUIPAMENTOS TÁTICOS                                                                                        ,13
1370,PIROTECNICOS                                                                                                            ,13
1375,MATERIAIS DE DEMOLIÇÃO                                                                                                  ,13
1376,EXPLOSIVOS A GRANEL                                                                                                     ,13
1377,DISPOSITIVOS ACIONADOS POR PROPELENTES E CARTUCHOS                                                                      ,13
1380,AGENTES BIOLOGICOS DE USO MILITAR                                                                                       ,13
1385,EQUIPAMENTOS E FERRAMENTAS PARA MANUSEIO DE EXPLOSIVO NA SU-PERFÍCIE                                                    ,13
