codigo,descricao,codigo_classe
00001,RESISTOR CARBONO                                                                                    ,5905
00002,RESISTOR FILME METÁLICO                                                                             ,5905
00003,RESISTOR FIO                                                                                        ,5905
00004,DISJUNTOR BAIXA TENSÃO                                                                              ,5925
00005,FITAS ADESIVAS                                                                                      ,7510
00006,FITA CORRETIVA MÁQUINA ESCREVER                                                                     ,7510
00007,FITA IMPRESSÃO MÁQUINA ESCREVER                                                                     ,7510
00008,FITA IMPRESSÃO MÁQUINA CALCULAR                                                                     ,7510
00009,BORRACHA APAGADORA                                                                                  ,7510
00010,FITA ROTULADORA                                                                                     ,7510
00011,CLIPE                                                                                               ,7510
00012,LÁPIS PRETO                                                                                         ,7510
00013,ÁCIDO BENZÓICO                                                                                      ,6810
00014,CANETAS HIDROGRAFICAS                                                                               ,7510
00015,LÁPIS BORRACHA                                                                                      ,7510
00016,LÁPIS DE COR                                                                                        ,7510
00017,MINA GRAFITE                                                                                        ,7510
00018,CORRETIVO LÍQUIDO                                                                                   ,7510
00019,CORRETIVO SECO                                                                                      ,7510
00020,PASTA ARQUIVO                                                                                       ,7510
00021,ETIQUETA ADESIVA                                                                                    ,7510
00022,ALMOFADA CARIMBO                                                                                    ,7520
00023,"""PAPEL IMPRESSÃO""                                                                                   ",9310
00024,RÉGUA ESCRITÓRIO                                                                                    ,7510
00025,PAPEL ALMAÇO                                                                                        ,7510
00026,PAPEL CARBONO                                                                                       ,7510
00027,GRAMPEADOR                                                                                          ,7520
00028,GRAMPO GRAMPEADOR                                                                                   ,7510
00029,ESPIRAL ENCADERNAÇÃO                                                                                ,7510
00030,"""PAPEL BOBINADO""                                                                                    ",9310
00031,GIZ                                                                                                 ,7510
00032,CINTA ELÁSTICA                                                                                      ,7510
00033,COLCHETE FIXAÇÃO                                                                                    ,7510
00034,PAPEL RECADO AUTO-ADESIVO                                                                           ,7510
00035,TINTA CARIMBO                                                                                       ,7510
00036,DIVISÓRIA ARQUIVO                                                                                   ,7520
00037,AGENDA                                                                                              ,7510
00038,ALFINETE MAPA                                                                                       ,7510
00039,CARIMBOS                                                                                            ,7520
00040,"ETIQUETA GOMADA ""URGENTE""                                                                           ",7510
00041,PORTA-CARIMBO                                                                                       ,7520
00042,APAGADOR QUADRO MAGNÉTICO                                                                           ,7520
00043,APAGADOR QUADRO NEGRO                                                                               ,7520
00044,BANDEJA DOCUMENTOS                                                                                  ,7520
00045,ÁCIDO BÓRICO                                                                                        ,6810
00046,APONTADOR LÁPIS                                                                                     ,7520
00047,PORTA-LÁPIS/CLIPE/LEMBRETE                                                                          ,7520
00048,"""PAPEL COUCHÊ""                                                                                      ",9310
00049,PAPEL VEGETAL                                                                                       ,9310
00050,PAPEL VERGÊ                                                                                         ,9310
00051,DIVISÓRIA CLASSIFICADOR                                                                             ,7530
00052,GUILHOTINA                                                                                          ,3610
00053,"""ENVELOPE""                                                                                          ",7510
00054,TELHA AMIANTO                                                                                       ,5650
00055,LENÇOL BORRACHA                                                                                     ,9320
00056,PERFURADOR PAPEL                                                                                    ,7520
00057,PERFURADORA PAPEL PARA ESPIRAL                                                                      ,7520
00058,PLACA ACRÍLICA                                                                                      ,9390
00059,CINZEIRO MESA                                                                                       ,9920
00060,CAPA CLASSIFICADORA                                                                                 ,7510
00061,ARQUIVO DISQUETE                                                                                    ,7520
00062,CONECTOR EMENDA                                                                                     ,5935
00063,PASTA ARQUIVO REGISTRADOR                                                                           ,7520
00064,"""PAPEL APERGAMINHADO""                                                                               ",9310
00065,"""PAPEL SULFITE""                                                                                     ",9310
00066,BLOCO RASCUNHO                                                                                      ,7510
00067,CAPA PROCESSOS                                                                                      ,7530
00068,"""PAPEL ALTA ALVURA""                                                                                 ",7510
00069,BLOCO RECEITUÁRIO                                                                                   ,7540
00070,BLOCO RECEITUÁRIO MÉDICO                                                                            ,7540
00071,BLOCO FORMULÁRIO COMUNICAÇÃO INTERNA                                                                ,7540
00072,POSTE CONCRETO DUPLO T                                                                              ,5680
00073,BLOCO RECIBO COM CANHOTO                                                                            ,7540
00074,PAPEL AUTO-ADESIVO                                                                                  ,7510
00075,PAPEL CARTOLINA                                                                                     ,7540
00076,BLOCO MEMORANDO                                                                                     ,7540
00077,BLOCO LAUDO MÉDICO / TÉCNICO                                                                        ,7540
00078,PAPEL MILIMETRADO                                                                                   ,7540
00079,PAPEL FLIP CHART                                                                                    ,7540
00080,BARBANTE ALGODÃO                                                                                    ,4020
00081,"""CAIXA ARQUIVO""                                                                                     ",7510
00082,ESTÊNCIL                                                                                            ,7510
00083,GARRA ENCADERNAÇÃO                                                                                  ,7520
00084,CONJUNTO MULTIUSO ESCRITÓRIO                                                                        ,7520
00085,ACETATO DE ETILA                                                                                    ,6810
00086,PORTA-PAPEL                                                                                         ,7520
00087,CAPA ENCADERNAÇÃO                                                                                   ,7520
00088,CAPA                                                                                                ,7510
00089,REGISTRADOR AZ                                                                                      ,7510
00090,"""FORMULÁRIO CONTÍNUO""                                                                               ",7540
00091,LÁPIS VIDROGRÁFICO                                                                                  ,7510
00092,LÁPIS CERA                                                                                          ,7510
00093,EXTENSÃO PARAFUSO PASTA                                                                             ,7510
00094,PASTA FORMULÁRIO CONTÍNUO                                                                           ,7510
00095,COLA BASTÃO                                                                                         ,7510
